feature,historical_missing_pct,2026_missing_pct,historical_mean,2026_mean,historical_std,2026_std,historical_min,historical_max,2026_min,2026_max,standardized_mean_diff,status,is_critical
rating_points__match_z,0.0,0.0,2.7536431514823445e-19,-6.995734244644968e-19,0.9888175232321188,0.9891226502649172,-3.24204669953555,4.488585091704533,-3.3272225785597063,4.308701354725112,-9.859632507583207e-19,READY,False
rating_points__match_pct,0.0,0.0,0.5111250051672109,0.5108695652173914,0.28854999498216083,0.2885647097333033,0.021739130434782608,1.0,0.021739130434782608,1.0,-0.0008852536969732836,READY,False
rating_points__match_rank,0.0,0.0,22.982989541565043,23.5,12.98776093938086,13.273976647731951,1.0,46.0,1.0,46.0,0.03980751269199162,READY,False
rating_points__match_share,0.0,0.0,0.022250010334421897,0.021739130434782608,0.01333560801023514,0.013198983639935314,-0.03364306312079461,0.09891808346213292,-0.03138075313807531,0.08933626926706512,-0.03830945685020033,READY,False
disposals__match_z,0.0,0.0,3.561378475917166e-18,-1.8188909036076918e-18,0.9888175232321187,0.9891226502649172,-2.80818696397729,4.476618134273289,-2.32174652148819,3.882177150473716,-5.441114516193574e-18,READY,False
disposals__match_pct,0.0,0.0,0.5111250051672109,0.5108695652173914,0.2879711958128425,0.28800362038048716,0.021739130434782608,1.0,0.021739130434782608,1.0,-0.0008870329864018594,READY,False
disposals__match_rank,0.0,0.0,22.982989541565043,23.5,12.961808097421498,13.24816653750241,1.0,46.0,1.0,46.0,0.03988721747375707,READY,False
disposals__match_share,0.0,0.0,0.022250010334421894,0.02173913043478261,0.010007749586461733,0.009685009759980752,0.0,0.07417582417582418,0.0,0.06033376123234917,-0.051048429542081,READY,False
effective_disposals__match_z,0.0,0.0,7.985565139298799e-19,3.497867122322484e-18,0.9888175232321188,0.9891226502649172,-2.5610273045348535,4.366564807125549,-2.2081488572832626,3.8455226755437963,2.72983694662838e-18,READY,False
effective_disposals__match_pct,0.0,0.0,0.5111250051672109,0.5108695652173914,0.2877256755044529,0.2877724101941794,0.021739130434782608,1.0,0.021739130434782608,1.0,-0.0008877899039483776,READY,False
