player_position,coaches_votes,P_brownlow_0,P_brownlow_1,P_brownlow_2,P_brownlow_3,E_brownlow,n
HFFL,0,0.9924953095684803,0.005628517823639775,0.0013401232913428035,0.0005360493165371214,0.009916912355936747,3731
HFFL,1,0.8947368421052632,0.05263157894736842,0.05263157894736842,0.0,0.15789473684210525,95
HFFL,2,0.865979381443299,0.09278350515463918,0.041237113402061855,0.0,0.17525773195876287,97
HFFL,3,0.7640449438202247,0.1348314606741573,0.0898876404494382,0.011235955056179775,0.34831460674157305,89
HFFL,4,0.7230769230769231,0.15384615384615385,0.07692307692307693,0.046153846153846156,0.4461538461538462,65
HFFL,5,0.5892857142857143,0.10714285714285714,0.23214285714285715,0.07142857142857142,0.7857142857142857,56
HFFL,6,0.3333333333333333,0.24242424242424243,0.24242424242424243,0.18181818181818182,1.2727272727272727,33
HFFL,7,0.3333333333333333,0.25925925925925924,0.25925925925925924,0.14814814814814814,1.2222222222222223,27
HFFL,8,0.35294117647058826,0.11764705882352941,0.35294117647058826,0.17647058823529413,1.3529411764705883,34
HFFL,9,0.15789473684210525,0.2631578947368421,0.2631578947368421,0.3157894736842105,1.736842105263158,38
HFFL,10,0.12195121951219512,0.07317073170731707,0.1951219512195122,0.6097560975609756,2.292682926829268,41
HFFR,0,0.9909139497594869,0.005879208979155532,0.002405130946018172,0.0008017103153393907,0.013094601817210049,3742
HFFR,1,0.8543689320388349,0.0970873786407767,0.038834951456310676,0.009708737864077669,0.20388349514563106,103
HFFR,2,0.865979381443299,0.08247422680412371,0.041237113402061855,0.010309278350515464,0.1958762886597938,97
HFFR,3,0.7532467532467533,0.16883116883116883,0.06493506493506493,0.012987012987012988,0.33766233766233766,77
HFFR,4,0.7547169811320755,0.09433962264150944,0.1320754716981132,0.018867924528301886,0.41509433962264153,53
HFFR,5,0.46,0.3,0.18,0.06,0.84,50
HFFR,6,0.38095238095238093,0.2857142857142857,0.30952380952380953,0.023809523809523808,0.9761904761904762,42
HFFR,7,0.5365853658536586,0.14634146341463414,0.2926829268292683,0.024390243902439025,0.8048780487804879,41
HFFR,8,0.27586206896551724,0.20689655172413793,0.27586206896551724,0.2413793103448276,1.4827586206896552,29
HFFR,9,0.25925925925925924,0.14814814814814814,0.14814814814814814,0.4444444444444444,1.7777777777777777,27
HFFR,10,0.08888888888888889,0.044444444444444446,0.17777777777777778,0.6888888888888889,2.466666666666667,45
INT,0,0.9946142284569138,0.0035696392785571143,0.00125250501002004,0.0005636272545090181,0.0077655310621242485,15968
INT,1,0.909952606635071,0.061611374407582936,0.018957345971563982,0.009478672985781991,0.12796208530805686,211
INT,2,0.7988505747126436,0.12643678160919541,0.040229885057471264,0.034482758620689655,0.3103448275862069,174
INT,3,0.7463768115942029,0.17391304347826086,0.043478260869565216,0.036231884057971016,0.3695652173913043,138
INT,4,0.6542056074766355,0.14018691588785046,0.1588785046728972,0.04672897196261682,0.5981308411214953,107
INT,5,0.5542168674698795,0.2289156626506024,0.0963855421686747,0.12048192771084337,0.7831325301204819,83
INT,6,0.6065573770491803,0.13114754098360656,0.16393442622950818,0.09836065573770492,0.7540983606557377,61
INT,7,0.5111111111111111,0.06666666666666667,0.24444444444444444,0.17777777777777778,1.0888888888888888,45
INT,8,0.30357142857142855,0.14285714285714285,0.32142857142857145,0.23214285714285715,1.4821428571428572,56
INT,9,0.22857142857142856,0.11428571428571428,0.2857142857142857,0.37142857142857144,1.8,35
INT,10,0.1956521739130435,0.06521739130434782,0.15217391304347827,0.5869565217391305,2.130434782608696,46
R,0,0.9633821571238349,0.019640479360852198,0.010985352862849533,0.005992010652463382,0.05958721704394141,3004
R,1,0.7718120805369127,0.09395973154362416,0.09395973154362416,0.040268456375838924,0.40268456375838924,149
R,2,0.7530120481927711,0.1566265060240964,0.08433734939759036,0.006024096385542169,0.3433734939759036,166
R,3,0.6783216783216783,0.14685314685314685,0.13286713286713286,0.04195804195804196,0.5384615384615384,143
R,4,0.6328125,0.1640625,0.1328125,0.0703125,0.640625,128
R,5,0.43103448275862066,0.20689655172413793,0.23275862068965517,0.12931034482758622,1.0603448275862069,116
R,6,0.4205607476635514,0.21495327102803738,0.14953271028037382,0.21495327102803738,1.158878504672897,107
R,7,0.2978723404255319,0.18085106382978725,0.3191489361702128,0.20212765957446807,1.425531914893617,94
R,8,0.203125,0.140625,0.375,0.28125,1.734375,128
R,9,0.14285714285714285,0.08791208791208792,0.1978021978021978,0.5714285714285714,2.197802197802198,91
R,10,0.08888888888888889,0.06666666666666667,0.1111111111111111,0.7333333333333333,2.488888888888889,180
RK,0,0.9842012873025161,0.007899356348741955,0.005851375073142188,0.002047981275599766,0.025746050321825628,3418
RK,1,0.9214285714285714,0.05,0.014285714285714285,0.014285714285714285,0.12142857142857143,140
RK,2,0.8785714285714286,0.05,0.03571428571428571,0.03571428571428571,0.22857142857142856,140
RK,3,0.8636363636363636,0.06060606060606061,0.06060606060606061,0.015151515151515152,0.22727272727272727,132
RK,4,0.7475728155339806,0.10679611650485436,0.11650485436893204,0.02912621359223301,0.42718446601941745,103
RK,5,0.6666666666666666,0.12698412698412698,0.12698412698412698,0.07936507936507936,0.6190476190476191,63
RK,6,0.4925373134328358,0.19402985074626866,0.22388059701492538,0.08955223880597014,0.9104477611940298,67
RK,7,0.5964912280701754,0.14035087719298245,0.19298245614035087,0.07017543859649122,0.7368421052631579,57
RK,8,0.49122807017543857,0.12280701754385964,0.15789473684210525,0.22807017543859648,1.1228070175438596,57
RK,9,0.3076923076923077,0.1346153846153846,0.25,0.3076923076923077,1.5576923076923077,52
RK,10,0.25,0.11842105263157894,0.17105263157894737,0.4605263157894737,1.8421052631578947,76
RR,0,0.9576008273009308,0.024474319200275766,0.01275422268183385,0.005170630816959669,0.06549465701482247,2901
RR,1,0.7668711656441718,0.11042944785276074,0.08588957055214724,0.03680981595092025,0.39263803680981596,163
RR,2,0.7516339869281046,0.09803921568627451,0.08496732026143791,0.06535947712418301,0.46405228758169936,153
RR,3,0.6347305389221557,0.1377245508982036,0.18562874251497005,0.041916167664670656,0.6347305389221557,167
RR,4,0.5365853658536586,0.17682926829268292,0.17073170731707318,0.11585365853658537,0.8658536585365854,164
RR,5,0.5545454545454546,0.16363636363636364,0.20909090909090908,0.07272727272727272,0.8,110
RR,6,0.30303030303030304,0.18181818181818182,0.29292929292929293,0.2222222222222222,1.4343434343434343,99
RR,7,0.2767857142857143,0.1875,0.26785714285714285,0.26785714285714285,1.5267857142857142,112
RR,8,0.2196969696969697,0.10606060606060606,0.3560606060606061,0.3181818181818182,1.7727272727272727,132
RR,9,0.13157894736842105,0.10526315789473684,0.23684210526315788,0.5263157894736842,2.1578947368421053,114
RR,10,0.05235602094240838,0.041884816753926704,0.14659685863874344,0.7591623036649214,2.612565445026178,191
SUB,0,0.9995713673381912,0.0,0.0,0.0004286326618088298,0.0012858979854264896,2333
SUB,1,1.0,0.0,0.0,0.0,0.0,1
SUB,5,0.0,1.0,0.0,0.0,1.0,1
WL,0,0.9904917142080957,0.004346644933441999,0.0032599837000814994,0.0019016571583808748,0.016571583808747622,3681
WL,1,0.8870967741935484,0.04838709677419355,0.04838709677419355,0.016129032258064516,0.1935483870967742,124
WL,2,0.8137254901960784,0.09803921568627451,0.049019607843137254,0.0392156862745098,0.3137254901960784,102
WL,3,0.7526881720430108,0.12903225806451613,0.10752688172043011,0.010752688172043012,0.3763440860215054,93
WL,4,0.6984126984126984,0.12698412698412698,0.09523809523809523,0.07936507936507936,0.5555555555555556,63
WL,5,0.5652173913043478,0.17391304347826086,0.21739130434782608,0.043478260869565216,0.7391304347826086,46
WL,6,0.5116279069767442,0.16279069767441862,0.20930232558139536,0.11627906976744186,0.9302325581395349,43
WL,7,0.34146341463414637,0.17073170731707318,0.3170731707317073,0.17073170731707318,1.3170731707317074,41
WL,8,0.20512820512820512,0.15384615384615385,0.3076923076923077,0.3333333333333333,1.7692307692307692,39
WL,9,0.17142857142857143,0.08571428571428572,0.2,0.5428571428571428,2.1142857142857143,35
WL,10,0.1282051282051282,0.1282051282051282,0.1794871794871795,0.5641025641025641,2.1794871794871793,39
WR,0,0.9880304678998912,0.008161044613710556,0.002720348204570185,0.001088139281828074,0.016866158868335146,3676
WR,1,0.9126984126984127,0.05555555555555555,0.023809523809523808,0.007936507936507936,0.12698412698412698,126
WR,2,0.8118811881188119,0.0594059405940594,0.10891089108910891,0.019801980198019802,0.33663366336633666,101
WR,3,0.8068181818181818,0.045454545454545456,0.09090909090909091,0.056818181818181816,0.3977272727272727,88
WR,4,0.6567164179104478,0.16417910447761194,0.14925373134328357,0.029850746268656716,0.5522388059701493,67
WR,5,0.6274509803921569,0.13725490196078433,0.17647058823529413,0.058823529411764705,0.6666666666666666,51
WR,6,0.5476190476190477,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.9047619047619048,42
WR,7,0.42857142857142855,0.11428571428571428,0.2857142857142857,0.17142857142857143,1.2,35
WR,8,0.20408163265306123,0.1836734693877551,0.4489795918367347,0.16326530612244897,1.5714285714285714,49
WR,9,0.20588235294117646,0.17647058823529413,0.20588235294117646,0.4117647058823529,1.8235294117647058,34
WR,10,0.13513513513513514,0.08108108108108109,0.1891891891891892,0.5945945945945946,2.2432432432432434,37
